subject,port,B_freeze_pct,base_seed,seed_eff,trial_kind,shuffle_id,n_nodes,kappa_grid,R_edge,R_peak,kappa_star,G_proxy,R0max_k0.001,R0max_k0.01,R0max_k0.063,R0max_k0.251,R0max_k0.631,R0max_k1,R0max_k10
519647,T2,0.0,20250220,1581787674,orig,-1,20,T2_5pt,8.78508947556723,9.636786606804137,0.631,0.8516971312369055,8.78508947556723,,,9.597430765331175,9.636786606804137,8.820037666273775,2.0040841653571566
519647,T2,0.0,20250220,1581787674,surr,0,20,T2_5pt,9.320670417195291,10.08757453594012,0.251,0.7669041187448293,9.320670417195291,,,10.08757453594012,9.849427772425408,8.92123250978053,1.9717022080880804
519647,T2,0.0,20250220,1581787674,surr,1,20,T2_5pt,16.452861188521037,13.967686699219488,0.251,-2.4851744893015493,16.452861188521037,,,13.967686699219488,10.912626433135362,8.663494873076075,1.4168034923964952
519647,T2,0.0,20250220,1581787674,surr,2,20,T2_5pt,17.281177902296207,14.745272033180632,0.251,-2.535905869115576,17.281177902296207,,,14.745272033180632,10.829875378854656,8.004089238920878,0.7866449122894718
519647,T2,0.0,20250220,1581787674,surr,3,20,T2_5pt,14.614630068942985,12.511838215365026,0.251,-2.1027918535779584,14.614630068942985,,,12.511838215365026,10.050863575654535,8.133596382798704,1.3822616740708096
519647,T2,0.0,20250220,1581787674,surr,4,20,T2_5pt,11.608555578676937,10.936723335313692,0.251,-0.6718322433632444,11.608555578676937,,,10.936723335313692,9.343680917664493,7.713847007412664,1.2730564946244316
519647,T2,0.0,20250220,1581787674,surr,5,20,T2_5pt,10.17924285616243,10.327734814420388,0.251,0.1484919582579564,10.17924285616243,,,10.327734814420388,9.559975849061686,8.395097363911786,1.719680841487436
519647,T2,0.0,20250220,1581787674,surr,6,20,T2_5pt,9.539744073073791,10.343503754486386,0.251,0.8037596814125934,9.539744073073791,,,10.343503754486386,10.17935402853199,9.296436834925895,2.142334847471877
519647,T2,0.0,20250220,1581787674,surr,7,20,T2_5pt,10.67553050403433,10.832031249151983,0.251,0.1565007451176541,10.67553050403433,,,10.832031249151983,10.060003357034237,8.798968924363958,1.7695296957479223
519647,T2,0.0,20250221,3889056529,orig,-1,20,T2_5pt,3.247165699753514,5.035036753357177,1.0,1.7878710536036633,3.247165699753514,,,4.000447098395148,4.709460833659189,5.035036753357177,1.9573515880528984
519647,T2,0.0,20250221,3889056529,surr,0,20,T2_5pt,4.182277961381659,5.439141225486829,1.0,1.256863264105171,4.182277961381659,,,4.639228480351718,5.213579100644044,5.439141225486829,1.9326682598167189
519647,T2,0.0,20250221,3889056529,surr,1,20,T2_5pt,3.29511193737367,4.779590539582148,0.631,1.4844786022084775,3.29511193737367,,,4.250628071553209,4.779590539582148,4.7729396544701705,1.387739988023605
519647,T2,0.0,20250221,3889056529,surr,2,20,T2_5pt,2.8487114654668746,4.03714920677448,0.631,1.188437741307605,2.8487114654668746,,,3.6389128542285,4.03714920677448,3.8509318994091055,0.7634760904876386
519647,T2,0.0,20250221,3889056529,surr,3,20,T2_5pt,2.4003177919474403,4.138945548443268,1.0,1.738627756495828,2.4003177919474403,,,3.3133389697574227,3.975288281477388,4.138945548443268,1.348100758362389
519647,T2,0.0,20250221,3889056529,surr,4,20,T2_5pt,1.9575066437164368,3.8405240001076257,1.0,1.8830173563911885,1.9575066437164368,,,2.89331538423307,3.623001121510605,3.8405240001076257,1.2400894088199017
519647,T2,0.0,20250221,3889056529,surr,5,20,T2_5pt,3.2365805502409994,4.8163239039019645,1.0,1.579743353660965,3.2365805502409994,,,3.835539356385792,4.540377617005945,4.8163239039019645,1.684238531877316
519647,T2,0.0,20250221,3889056529,surr,6,20,T2_5pt,4.140644322451327,5.790715522100595,1.0,1.6500711996492683,4.140644322451327,,,4.930688426273282,5.566866224340191,5.790715522100595,2.100868567195101
519647,T2,0.0,20250221,3889056529,surr,7,20,T2_5pt,4.684045447577669,5.460398492464336,1.0,0.7763530448866662,4.684045447577669,,,5.148139498468929,5.451705184669787,5.460398492464336,1.7365710796792482
519647,T2,0.0,20250222,3941048712,orig,-1,20,T2_5pt,5.483862814710792,7.264102434850963,0.631,1.7802396201401711,5.483862814710792,,,6.622846175733788,7.264102434850963,7.187271108236376,1.9906053235555112
519647,T2,0.0,20250222,3941048712,surr,0,20,T2_5pt,5.4285514463893545,7.423057656627407,0.631,1.994506210238052,5.4285514463893545,,,6.744600891082962,7.423057656627407,7.304054920282668,1.9591914583120515
519647,T2,0.0,20250222,3941048712,surr,1,20,T2_5pt,8.624770378278726,8.593602157685355,0.251,-0.0311682205933703,8.624770378278726,,,8.593602157685355,7.81681754725679,6.898936318761006,1.4089075429555953
519647,T2,0.0,20250222,3941048712,surr,2,20,T2_5pt,7.376779995221511,7.541432739873048,0.251,0.1646527446515371,7.376779995221511,,,7.541432739873048,6.7523154124543305,5.715868072708044,0.7782132259505572
519647,T2,0.0,20250222,3941048712,surr,3,20,T2_5pt,7.50242518667835,7.258472801086208,0.251,-0.2439523855921415,7.50242518667835,,,7.258472801086208,6.874663153136631,6.25316678608293,1.3714208055637362
519647,T2,0.0,20250222,3941048712,surr,4,20,T2_5pt,4.858350562700282,6.264834930814585,0.631,1.406484368114303,4.858350562700282,,,6.015037976256795,6.264834930814585,5.85421204950637,1.2628256947396712
519647,T2,0.0,20250222,3941048712,surr,5,20,T2_5pt,7.40469869341388,7.343091744259459,0.251,-0.0616069491544211,7.40469869341388,,,7.343091744259459,7.271142611150499,6.8999955864173215,1.7099983037046946
519647,T2,0.0,20250222,3941048712,surr,6,20,T2_5pt,8.869770104953677,8.31313849436872,0.251,-0.5566316105849562,8.869770104953677,,,8.31313849436872,8.192722326126303,7.885581686992926,2.13149052759225
519647,T2,0.0,20250222,3941048712,surr,7,20,T2_5pt,7.486778288116372,7.656049482019398,0.251,0.1692711939030262,7.486778288116372,,,7.656049482019398,7.635615790375017,7.218379948608326,1.7589616239654071
519647,T2,0.0,20250223,3329044763,orig,-1,20,T2_5pt,3.202375177278708,5.735296199819942,1.0,2.5329210225412337,3.202375177278708,,,4.373536487566196,5.410072677000215,5.735296199819942,1.97152281692924
519647,T2,0.0,20250223,3329044763,surr,0,20,T2_5pt,3.93920675997608,6.010770679190777,1.0,2.071563919214697,3.93920675997608,,,5.00772406715497,5.824383450735528,6.010770679190777,1.9422278819410217
519647,T2,0.0,20250223,3329044763,surr,1,20,T2_5pt,6.819588038042568,6.668636412237364,0.251,-0.1509516258052041,6.819588038042568,,,6.668636412237364,6.217922112506328,5.709666278039483,1.395905158936748
519647,T2,0.0,20250223,3329044763,surr,2,20,T2_5pt,6.395981989184879,5.696017850414286,0.251,-0.6999641387705928,6.395981989184879,,,5.696017850414286,5.064909405492543,4.476175105622745,0.7677881662318231
519647,T2,0.0,20250223,3329044763,surr,3,20,T2_5pt,3.872349649562085,5.019487803954323,0.631,1.1471381543922383,3.872349649562085,,,4.650173027939547,5.019487803954323,4.905951382736973,1.356449924267325
519647,T2,0.0,20250223,3329044763,surr,4,20,T2_5pt,3.0492205237658103,4.477552644988923,1.0,1.4283321212231126,3.0492205237658103,,,3.917295544000031,4.452671491994476,4.477552644988923,1.2478234983515917
519647,T2,0.0,20250223,3329044763,surr,5,20,T2_5pt,3.6014597841332905,5.668476667306382,1.0,2.0670168831730917,3.6014597841332905,,,4.797410305584116,5.570187847429003,5.668476667306382,1.69561607183819
519647,T2,0.0,20250223,3329044763,surr,6,20,T2_5pt,4.348029012268574,6.461103362339463,1.0,2.113074350070889,4.348029012268574,,,5.447690389975693,6.297004063459686,6.461103362339463,2.112303125840441
519647,T2,0.0,20250223,3329044763,surr,7,20,T2_5pt,4.845192700913541,6.143480705570953,0.631,1.2982880046574117,4.845192700913541,,,5.649649367441085,6.143480705570953,6.095067283252289,1.7454379594230047
519647,T2,5.0,20250212,1383813805,orig,-1,20,T2_5pt,4.840494818761618,6.869804068913142,0.631,2.029309250151524,4.840494818761618,,,6.120725253462861,6.869804068913142,6.847769138662161,1.9856304849862676
519647,T2,5.0,20250212,1383813805,surr,0,20,T2_5pt,4.793097856111376,6.56063038550186,0.631,1.7675325293904844,4.793097856111376,,,5.816908996914722,6.56063038550186,6.48862872198281,1.7627499510021312
519647,T2,5.0,20250212,1383813805,surr,1,20,T2_5pt,4.928763597598102,6.442582026929318,0.631,1.5138184293312165,4.928763597598102,,,5.838762258232672,6.442582026929318,6.311991013165083,1.6970124988512048
519647,T2,5.0,20250212,1383813805,surr,2,20,T2_5pt,4.731150651779354,5.997486589686934,0.631,1.2663359379075807,4.731150651779354,,,5.46054332817323,5.997486589686934,5.778047513142491,1.4611166904400974
519647,T2,5.0,20250212,1383813805,surr,3,20,T2_5pt,5.68268072296314,6.259032558662225,0.631,0.5763518356990858,5.68268072296314,,,6.244487432074359,6.259032558662225,5.818800110585233,1.4077003384311355
519647,T2,5.0,20250212,1383813805,surr,4,20,T2_5pt,5.7157494034440095,7.208487255577568,0.631,1.4927378521335584,5.7157494034440095,,,6.750622202124353,7.208487255577568,7.110742987040992,2.0829268172539925
519647,T2,5.0,20250212,1383813805,surr,5,20,T2_5pt,5.130303488487655,6.766389975644515,0.631,1.6360864871568594,5.130303488487655,,,6.211390935399333,6.766389975644515,6.625918202832596,1.8455534176319488
519647,T2,5.0,20250212,1383813805,surr,6,20,T2_5pt,6.170716862917067,6.876929314349026,0.251,0.7062124514319592,6.170716862917067,,,6.876929314349026,6.790723950158463,6.294115250862686,1.51669531702565
519647,T2,5.0,20250212,1383813805,surr,7,20,T2_5pt,4.735238807008817,6.7020494683805145,1.0,1.9668106613716976,4.735238807008817,,,5.903550864879852,6.650020385713297,6.7020494683805145,2.00251066913366
519647,T2,5.0,20250213,1623793398,orig,-1,20,T2_5pt,5.235717958863076,6.857632708914941,1.0,1.6219147500518645,5.235717958863076,,,6.099937120674676,6.816277592251637,6.857632708914941,1.988380855165685
519647,T2,5.0,20250213,1623793398,surr,0,20,T2_5pt,5.07061169920913,6.709414013166923,0.631,1.6388023139577932,5.07061169920913,,,5.877271712235263,6.709414013166923,6.645614446470356,1.7651567199808702
519647,T2,5.0,20250213,1623793398,surr,1,20,T2_5pt,6.428154659096472,6.787322598804495,0.631,0.3591679397080227,6.428154659096472,,,6.604900089726469,6.787322598804495,6.58080518712932,1.7016261491206095
519647,T2,5.0,20250213,1623793398,surr,2,20,T2_5pt,4.3202585803325775,5.835646852194858,0.631,1.5153882718622809,4.3202585803325775,,,5.257902391598252,5.835646852194858,5.713311448157822,1.461587460669289
519647,T2,5.0,20250213,1623793398,surr,3,20,T2_5pt,5.037807579143744,6.232177846680007,0.631,1.1943702675362626,5.037807579143744,,,5.917579893716564,6.232177846680007,5.92531059325658,1.4114583049805054
519647,T2,5.0,20250213,1623793398,surr,4,20,T2_5pt,4.899999669537183,7.078670730626023,1.0,2.17867106108884,4.899999669537183,,,6.07666428615768,6.989471635176199,7.078670730626023,2.0851566186655868
519647,T2,5.0,20250213,1623793398,surr,5,20,T2_5pt,5.531786264405321,7.0863011968376926,0.631,1.5545149324323717,5.531786264405321,,,6.544020626636615,7.0863011968376926,6.950077385103153,1.8514797423134903
519647,T2,5.0,20250213,1623793398,surr,6,20,T2_5pt,6.594371194936375,6.892299306731277,0.251,0.297928111794902,6.594371194936375,,,6.892299306731277,6.873888791475824,6.452676774972147,1.5207529815916554
519647,T2,5.0,20250213,1623793398,surr,7,20,T2_5pt,4.970223746926256,6.816364812316558,1.0,1.8461410653903023,4.970223746926256,,,5.99321786492766,6.753703082130007,6.816364812316558,2.004527970209621
519647,T2,5.0,20250214,2324211238,orig,-1,20,T2_5pt,4.890908579746506,6.556599172882597,1.0,1.665690593136091,4.890908579746506,,,5.755471560816939,6.463005205092132,6.556599172882597,1.9838401496372304
519647,T2,5.0,20250214,2324211238,surr,0,20,T2_5pt,4.039899700722785,5.943821210484345,1.0,1.9039215097615605,4.039899700722785,,,5.176102321248328,5.897838585029228,5.943821210484345,1.7550799625535458
519647,T2,5.0,20250214,2324211238,surr,1,20,T2_5pt,4.61970116285988,6.139615693743947,1.0,1.5199145308840665,4.61970116285988,,,5.498235635687207,6.138248441423515,6.139615693743947,1.6979520103101098
519647,T2,5.0,20250214,2324211238,surr,2,20,T2_5pt,4.101665773463608,5.677348166963383,0.631,1.5756823934997746,4.101665773463608,,,5.109982687145813,5.677348166963383,5.599572399548095,1.4613999901833552
519647,T2,5.0,20250214,2324211238,surr,3,20,T2_5pt,5.020367647543691,5.739016213371266,0.631,0.718648565827575,5.020367647543691,,,5.487410793607794,5.739016213371266,5.5649551612991965,1.409661019268082
519647,T2,5.0,20250214,2324211238,surr,4,20,T2_5pt,6.222583162126203,6.962317903512781,1.0,0.7397347413865774,6.222583162126203,,,6.584751210995091,6.957947922514244,6.962317903512781,2.083880139100872
519647,T2,5.0,20250214,2324211238,surr,5,20,T2_5pt,5.157746930448235,6.53176863430228,0.631,1.3740217038540443,5.157746930448235,,,5.9900779382250215,6.53176863430228,6.518919138794094,1.8475247568437363
519647,T2,5.0,20250214,2324211238,surr,6,20,T2_5pt,4.858951051500994,6.0898138720121615,0.631,1.2308628205111676,4.858951051500994,,,5.6907083963332745,6.0898138720121615,5.934121483502022,1.5176375029396556
519647,T2,5.0,20250214,2324211238,surr,7,20,T2_5pt,4.922700105203186,6.440399251901638,1.0,1.5176991466984529,4.922700105203186,,,5.801008058712501,6.384051170787461,6.440399251901638,1.996834284668009
519647,T2,5.0,20250215,238365436,orig,-1,20,T2_5pt,4.141285325600307,6.412778093183417,1.0,2.2714927675831103,4.141285325600307,,,5.208531667811533,6.208344625936664,6.412778093183417,1.983386882570392
519647,T2,5.0,20250215,238365436,surr,0,20,T2_5pt,3.8881614303778416,5.875085482054684,1.0,1.986924051676842,3.8881614303778416,,,4.862743922925447,5.725484166148897,5.875085482054684,1.7576214870069602
