subject,port,B,variant,kappa,R0max
304727,T2,10,surr0,0.039810717055349734,60.26750718468447
304727,T2,10,surr0,0.06309573444801933,63.556985508710305
304727,T2,10,surr0,0.09999999999999999,68.11801309622508
304727,T2,10,surr0,0.1584893192461114,74.05626997165076
304727,T2,10,surr0,0.25118864315095824,81.21584344242373
304727,T2,10,surr0,0.3981071705534973,89.24274033301256
304727,T2,10,surr0,0.6309573444801936,97.89887241540822
304727,T2,10,surr0,1.0,107.2048767866982
304727,T2,10,surr0,1.584893192461114,117.07933829684917
304727,T2,10,surr0,2.511886431509582,127.02434228239476
304727,T2,10,surr0,3.9810717055349736,136.27427260952732
304727,T2,10,surr0,6.309573444801936,144.1615907902829
304727,T2,10,surr0,10.0,150.37022581094666
304727,T2,10,surr1,0.001,55.115127694907855
304727,T2,10,surr1,0.001584893192461114,55.221285897683764
304727,T2,10,surr1,0.0025118864315095794,55.3889002564647
304727,T2,10,surr1,0.003981071705534973,55.652965845227655
304727,T2,10,surr1,0.006309573444801929,56.06753874173519
304727,T2,10,surr1,0.01,56.71484234519211
304727,T2,10,surr1,0.01584893192461114,57.716858043227774
304727,T2,10,surr1,0.025118864315095808,59.247244214406216
304727,T2,10,surr1,0.039810717055349734,61.53653077514693
304727,T2,10,surr1,0.06309573444801933,64.85460786200572
304727,T2,10,surr1,0.09999999999999999,69.44548691147817
304727,T2,10,surr1,0.1584893192461114,75.40164331389464
304727,T2,10,surr1,0.25118864315095824,82.54276820451709
304727,T2,10,surr1,0.3981071705534973,90.48575495376832
304727,T2,10,surr1,0.6309573444801936,98.97814878375547
304727,T2,10,surr1,1.0,108.05758887538038
304727,T2,10,surr1,1.584893192461114,117.68509358871587
304727,T2,10,surr1,2.511886431509582,127.40915459287834
304727,T2,10,surr1,3.9810717055349736,136.49362044776913
304727,T2,10,surr1,6.309573444801936,144.27517632390374
304727,T2,10,surr1,10.0,150.42462649407736
304727,T2,10,surr2,0.001,53.90669356401809
304727,T2,10,surr2,0.001584893192461114,54.01058544006435
304727,T2,10,surr2,0.0025118864315095794,54.17463004656752
304727,T2,10,surr2,0.003981071705534973,54.433093222026585
304727,T2,10,surr2,0.006309573444801929,54.838924383609964
304727,T2,10,surr2,0.01,55.472713422905045
304727,T2,10,surr2,0.01584893192461114,56.45414397940398
304727,T2,10,surr2,0.025118864315095808,57.953920543097226
304727,T2,10,surr2,0.039810717055349734,60.19945443069873
304727,T2,10,surr2,0.06309573444801933,63.45901932572896
304727,T2,10,surr2,0.09999999999999999,67.98036406489547
304727,T2,10,surr2,0.1584893192461114,73.87138380835945
304727,T2,10,surr2,0.25118864315095824,80.98400489921573
304727,T2,10,surr2,0.3981071705534973,88.97757037864197
304727,T2,10,surr2,0.6309573444801936,97.62703594095139
304727,T2,10,surr2,1.0,106.95781824496449
304727,T2,10,surr2,1.584893192461114,116.88198595938235
304727,T2,10,surr2,2.511886431509582,126.88653032223544
304727,T2,10,surr2,3.9810717055349736,136.18981612077482
304727,T2,10,surr2,6.309573444801936,144.1154897131708
304727,T2,10,surr2,10.0,150.3473200587246
304727,T3,0,orig,0.001,279.59523137282594
304727,T3,0,orig,0.001584893192461114,279.70443647162426
304727,T3,0,orig,0.0025118864315095794,279.8773268215546
304727,T3,0,orig,0.003981071705534973,280.1508681668557
